message,is_spam
주말에 뉴스를 보면서 즐거운 시간을 보냈어요. 세상 일들에 대해 알아가는 것은 항상 즐거운 일이에요. 함께 이야기를 나누며 세상의 다양한 이슈를 공유하는 것이 중요하다고 생각해요.,0
아까 운동이 너무 즐거웠어요. 스포츠를 즐기는 것은 정말 행복한 일이에요. 함께 운동하는 친구들과의 시간도 소중하죠. 운동을 통해 건강도 챙기고 스트레스도 해소할려구,0
아까 공연을 보러 갔는데 정말 멋있었어요. 무대 위의 배우들의 열정이 느껴졌고 음악과 춤으로 마음을 전달해주는 모습이 인상적이었어요. 이번 주말에도 다른 공연을 보러 가고 싶을때 연락하세요,0
어제 친구들과 함께 즐거운 시간을 보내며 음악을 듣는 것이 너무 즐거웠어요. 음악은 마음을 편안하게 만들어주는 마법 같은 것이에요. 함께 음악을 듣는 것은 우리 모두를 하나로 만드는 것 같아요,0
방금 새로운 책을 읽기 시작했는데  정말 흥미진진하네요. 이 책은 미스터리 스토리가 매력적이에요. 매일 조금씩 읽으면서 책의 세계에 빠져들고 있어요. ,0
이따가 날씨가 맑아서 산책하기 좋을 것 같아요. 바람이 시원하니 외출하실 때는 가벼운 옷차림으로 나가세요. 함께 즐거운 시간을 보내세요!,0
방금 업무 보고서를 제출했어요. 내일 회사 회의가 있어서 긴장되네요. 오늘은 조금 늦게까지 일했지만 내일은 조금 일찍 퇴근할 수 있겠죠?,0
언제든지 대중교통을 이용해도 좋아요. 버스나 지하철을 이용하면 교통체증을 피할 수 있어요. 출퇴근 시간에는 대중교통을 이용하는 것이 편리해요. ,0
내일은 교통 체증이 예상되니 일찍 나가는 것이 좋겠어요. 대중교통을 이용하거나 출퇴근 시간을 조정해보세요. 안전운전하세요!,0
주말에는 업무에 집중하기 힘들겠지만 이번 주에는 미리 준비할 수 있는 것이 많아요. 계획을 세우고 휴식도 챙기며 다음 주에 대비해봐요.열심히 일한 당신 떠나라~,0
